Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,13.5,14.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,17.875,18.9166666666667,16.25,14.75,15.4583333333333,15.9583333333333,13.8333333333333,13.5416666666667,12.5416666666667,12.2916666666667,12.0833333333333,11.9166666666667,11.4583333333333,10.9166666666667,10.75,11.1875,13.0208333333333,13.3125,12.1875,8.33335,10.1666666666667,10.6041666666667,10.2916666666667,10.25,10.0083333333333,9.6725,9.50833333333333,9.45416666666667,9.46625,9.15,8.69833333333333,8.56714285714286,,
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,14.4559066529031,15.7559572421275,15.9663888849663,16.3444152181133,16.286288075896,17.1201175987328,16.7321538270851,16.0688033931191,16.2085869350438,16.1237046730538,15.5361588782174,16.5857004537741,17.052433166509,15.9072851413666,16.6044279898124,17.7147108390771,18.4889478328741,18.790192632651,19.3925362346593,20.3543140219455,19.676240167605,19.8672538705859,21.0145131265607,20.5690677567932,20.8504284661727,21.8032977678692,22.9009149864679,24.4436232619543,23.57197888597,24.5768135640681,26.0821701661578,24.584333789586,25.0894998917615,23.6677562948176,23.3588882063134,25.1369225017193,24.5247871242351,25.3500521496081,25.4587677777102,27.5350924245587,26.0217848451461,29.9323096392457,28.3325248092936,28.3348257062433,30.7081414238993,32.7553370362813,33.5848915769349,35.8128781215224,34.7179593535669,33.9516269299674,33.2300146665612,34.3134166469138,33.4369343256095,31.2958008477999,30.0802370588676,28.7331441287654,28.1884378846365,28.1778136155899,29.4630681512657,28.4545443348135,27.3243213738669,29.5780345158662,30.7498620792469,31.3293712437811,
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,3.6,,,,,3.836,,,,,2.796,,2.765,,,,,,6.714,5.21,6.951,5.382,3.449,2.748,
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,6.853,6.859,6.828,6.99,7.147,7.335,7.517,7.682,7.856,8.039,8.248,8.397,8.551,8.697,8.614,8.534,8.486,8.406,8.318,8.222,8.156,8.088,7.992,7.894,7.8,7.723,7.652,6.51,7.859,6.38,4.822,4.172,
Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.437,,,,,,3.941,,,,,4.124,,,,,3.035,,2.954,,,,,,6.394,4.937,6.368,4.877,3.095,2.473,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.72274253311053,2.93112773548363,5.99435326188559,7.45295012250209,-2.63577011020728,-0.0553287704537979,7.82596303082235,3.38792917634143,6.53970029928357,5.15722973718955,1.64293037527582,-0.553301305344547,3.29552113471652,1.18533625466961,9.14991201570659,1.66310363813034,7.25476458760367,5.71253208869331,-5.23818270446218,6.7358215288198,6.00620362601497,3.47573323969961,7.28889290305703,3.82073785610604,5.25429922311382,4.77656416847516,3.96535563481719,9.62778291607844,5.94734333181324,5.53345456125301,1.05683143496063,5.48239602040357,4.75077621776924,6.65892407028434,7.57449183788519,7.54952224920051,4.04982084998183,6.18441582172117,8.84575555939531,3.84099115659129,4.82396626555771,3.80397532112175,7.8603814759073,7.92293661199932,7.92343062148318,8.06073257166651,7.6608150670107,3.08669805921981,7.86188883286074,8.49758470221235,5.24131619938926,5.45638755164701,6.38610640092348,7.41022760516408,7.99625378566586,8.25630550178155,6.79538341898569,6.4538513449766,3.87143694070957,-5.77772470687434,9.68959249191211,6.98703932576051,7.58397112433558,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.77987784677382,1.69521293914433,3.63221497106987,2.94616135685229,13.3552611508153,9.47475859170699,10.8018483489342,13.062202477797,3.23741242627502,-0.584136610466349,5.09226161997552,3.07993868406537,6.44209746158243,16.9408159791736,28.598734077509,5.74843029767437,-7.63394763392882,8.30747009171166,2.5230487569518,6.27568336762335,11.3460734795095,13.112546897642,7.89074279377487,11.8680812986734,8.3189071186008,5.55642423236554,8.72972072702581,8.80112581251833,9.38347186185335,7.07428002942301,8.9712325027325,13.8702461773683,11.7878170418134,6.32689048779867,10.2479355556119,10.2248861637544,8.97715233826453,7.16425211462724,13.2308389767977,4.66982038037594,4.0094359104519,3.77929312235637,4.29715203929563,3.80585899528851,3.76725173477515,4.24634362031922,5.79652337561634,6.37288135593231,8.34926704907581,10.8823529411764,11.9893899204244,8.91179336483371,9.47899691419801,10.0178784746102,6.66565671867899,4.90697344127256,4.94821634062141,3.32817337461298,3.9388264669163,3.72950573539129,6.62343677628535,5.13140747176369,6.69903414079852,5.64914318907925,
"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.873,,,,,,6.143,,,,,5.37,,,,,4.162,,3.834,,,,,,4.627,3.681,3.947,2.856,1.799,1.697,
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,-0.149803050596716,1.53711247656258,1.7444258081725,0.504272542122817,0.0329009656250522,-0.958052563978002,-1.39454916709874,-1.25727324301824,-0.887438187991858,-1.08931724045169,-1.78080747473129,-1.8345205595127,-1.85324243711685,-2.40845625496789,-2.3012843286246,-2.19193586906134,-1.58891131223691,-1.55624498023457,-0.67161886953087,-0.512193818555587,-1.54413181166043,-1.51595497295368,-0.713014326393887,-1.63832533358649,-0.703547232193243,-0.982342580017139,0.290495460210208,1.37093793900847,1.44355773291234,0.110018010197153,-1.25350400207393,-0.988988302952292,-0.66371764877261,-2.58337749259837,-1.95146209111801,-3.25348368945179,-3.42928468605951,-5.00488971805156,-2.64566711733909,-1.33950896483403,-1.06754907167993,-0.527880606037402,-1.43948820320981,-2.42697545810581,-1.04961203910048,1.22362111042809,-1.05524166809382,-2.35728753316098,-0.852019621789705,
